source_lemma,target_translation
strukturovaný rozhovor,structured interview
strukturální antropologie,structural anthropology
strunkovice,Strunkovice
struska,slag
stránkování,pagination
strážnice/předsunutá bašta,outpost/watchtower
studna,water well
stylobat,stylobate
stáj,stable
stáj/chlév,stable/cowshed
stálá expozice,permanent exhibitions
stálé opevnění,permanent fortification
stát,state
stát a církev,church and state
státní správa,state administration
stéla,stela
stéla (objekt),stele (feature)
stéla (předmět),stela (object)
stěhování národů,Migration period
střední / mladší neolit,middle / late neolithic
střední doba bronzová,Middle Bronze Age
střední doba hradištní,middle hillfort period
střední doba laténská (ltb-c1),middle La Tène period (LtB-C1)
střední doba laténská (ltb–c1),Middle La Tène Period (LtB–C1)
střední dolní němčina,Middle Low German
střední eneolit,Middle Eneolithic
střední paleolit,Middle Palaeolithic
střední vrstva,middle class
střední/mladší doba laténská (ltc1–2),Middle/Late La Tène Period (LtC1–2)
střední–mladší neolit,Middle–Late Neolithic
středoafrická republika,Central African Republic (the)
středodunajská mohylová kultura,Middle-Danubian Tumulus Culture
středodunajská popelnicová pole,Middle Danube Urnfield culture
středověk,Medieval
středověk (historiografie),Middle Ages (historiography)
středověk - novověk,Middle ages - modern period
středověká architektura,medieval architecture
středověká keramika,medieval pottery
středověká společnost,medieval society
středověká řečtina,Medieval Greek
středověké malířství,medieval painting
středověké město,medieval town
středověké sochařství,medieval sculpture
středověké umění,medieval art
středověký rukopis,medieval manuscript
středověk–novověk,Middle Ages–Modern Period
střelná zbraň,ranged weapon
střešní krytina,roofing tile
střešní taška,roof tile
stříbrnictví,silverwork
stříbro,silver
stříbrotepec,silversmith
stříbrotepectví,silversmithing
střížek,planchet
subatlantik (paleoklimatologie),Subatlantic (paleoclimatology)
subkultura,subculture
subobor (antropologie),subfield (anthropology)
subobor (chemie),subfield (chemistry)
subobor (demografie),subfield (demography)
subobor (geografie),subfield (geography)
subobor (mineralogie),subfield (mineralogy)
subobor (paleobotanika),subfield (palaeobotany)
subobor (paleontologie),subfield (palaentology)
subobor (paleozoologie),subfield (paleozoology)
subobor (religionistika),subfield (religious science)
subobory (hydrologie),subfield (hydrology)
subobory průřezové (tematické) (archeologie),cross-sectional subfields (thematic) (archeology)
"subobory systémové (chronologické, historické) (archeologie)","system subfields (chronological, historical) (archeology)"
suchozemský měkkýš,terrestrial mollusc
sukno,cloth
sumer,Sumer
surinam,Suriname
surovina,raw material
surrealismus (umění),surrealism (art)
svatba,wedding
svatební zvyk,wedding custom
svatodušní královské průvody,Ride of the Kings
svatá helena,"Saint Helena, Ascension and Tristan da Cunha"
svatá lucie,Saint Lucia
svatá říše římská,Holy Roman Empire
svatý bartoloměj,Saint Barthélemy
svatý kryštof a nevis,Saint Kitts and Nevis
svatý martin (fr),Saint Martin (French part)
svatý martin (nl),Sint Maarten (Dutch part)
svatý tomáš a princův ostrov,Sao Tome and Principe
svatý vincenc a grenadiny,Saint Vincent and the Grenadines
svazijsko,Eswatini
svátek tří králů,Epiphany
svébové,Suebi
svéráz,national selfhood
svídnické knížectví,Duchy of Jawor-Świdnica
svěcení kněží,ordination
symbol,symbol
symbolické místo,symbolic place
symbolický předmět,symbolic object
sympatetická magie,sympathetic magic
sympozium,symposium
synagoga,synagogue
synoda,synod
syntéza (vědecká metodologie),synthesis (scientific methodology)
systematická mineralogie,systematic mineralogy
systematická paleobotanika,systematic paleobotany
systematická paleozoologie,systematic zoopaleontology
systematické pozorování,systematic observation
szeletien,Szeletian
sádrový odlitek,gypsum casting
sámos (řecko),Samos
sékvanové,Sequani
sémiotika,semiotics
sídelní archeologie,settlement archaeology
sídelní areál,settlement area
sídelní geografie,urban geography
sídelní město,residential town
sídlištní vrstva/souvrství,settlement layer/sequence
sídliště,settlement
sídliště specializované komunity,special-community settlement
sídlo,residential area
sídlo elity,elite settlement
súdán,Sudan (the)
sýpka,granary (sýpka/Getreidespeiche)
sýpka/špýchar,granary/storehouse
sýrie,Syrian Arab Republic
sčítání obyvatelstva,population census
sňatek panovnických rodů,marriage of royalty
sňatek šlechtických rodů,marriage of nobility
tablinum,tablinum
tabulka,tablet
tafonomie,taphonomy
tagarská kultura,Tagar culture
talent,talent
talíř,plate
taneční folklor,dancing folklore
tanzanie,"Tanzania, United Republic of"
tatarština,Tatar
tataři,Tartar
taubachien,Taubachian
taurové,Tauri
taurus (turecko : pohoří),Taurus
tauzie,damascening
tavení skla,glass melting
tažení alexandra velikého (334-323 př. kr.),Expansion of Alexander the Great (334-323 B.C.)
tažná zvířata,draught animals
tchaj-wan,Taiwan (Province of China)
technická keramika,technical ceramics
technika zhotovení,manufacturing method
technologický proces,chaine operatoire
teismus,theism
tektonika,tectonics
telegrafie,telegraphy
telestérion,telesterion
tell,tell
tematický výzkum,thematic research
temenos,temenos
templáři,Templars
teokracie,theocracy
teologie,theology
teorie - terminologie (archeologie),theory - terminology (archaeology)
teorie strukturace,Structuration theory
teorie systémů,system theory
"teorie, metody a myšlení (geografie)","theory, methods and thinking (geography)"
teplomilná doubrava,Quercetea pubescentis
terakota,terracotta
terina,terrine
terminologie,terminology
terminus,terminus
termografie,thermography
termoluminiscenční datování,thermoluminiscence dating
termometrie,thermometry
terra sigillata,terra sigillata
terénní archeologická dokumentace,field archaeological documentation
terénní hrana,terrain edge
terénní odkryv,field excavation
terénní pracoviště,fieldwork unit
terénní zásah,field intervention
teslice,adze
tessera,tessera
tesák,dussack
tetradrachmon,tetradrachmon
teutoburský les (německo),Teutoburg Forest
teutoni,Teutons
textil,textile
thajsko,Thailand
thassos (řecko : ostrov),Thasos
theokoleion,theocoleon
thermy,thermae
thesprótia,Thesprotia
thessalové,Thessali
thesálie (řecko),Thessalia
tholos,tholos
thrácká mytologie,Thracian mythology
thrácké moře,Thracian Sea
thrácké nápisy,Thracian inscriptions
thrácké umění,Thracian art
thrákie,Thrace
thrákové,Thracians
thráčtina,Thracian
thyrsos,thyrsos
thésauros,thesauros
thíra (řecko),Thera
thúlé,Thule
tisk,print
tiskař,printer
tiskařka,woman printer
tiskařství,printing
tisková fólie,printing foil
tisková kvalita,print quality
tišnovien,tišnovien
tkadlec,weaver
tkadlena,woman weaver
tkalcovské závaží,loomweight
tkalcovský stav,loom
tkalcovství,weaving
toaletní potřeba,toiletry
togo,Togo
tokelau,Tokelau
tolar,taler
tonga,Tonga
topný kanál,heating channel
topografická kartografie,topographical cartography
topografické mapování,topographical mapping
topografie,topography
toponomastika,toponymy
torus,torus
totalitarismus,totalitarianism
totem,totem
totemismus,totemism
toulec,quiver
transmisní elektronová mikroskopie,transmission electron microscopy
trapistická spiritualita,Trappist spirituality
trapistický klášter,Trappist monastery
trapistky,Trappist nuns
trapisté,Trappists
trasologie,traceology
trativod,drainage
treverové,Treveri
tribut,tribute
tribón,tribon
triclinium,triclinium
trigae,triga
triglyf,triglyph
trinidad a tobago,Trinidad and Tobago
triptychon,triptych
triéra,trireme
trojice,Trinity
trojnožka,tripod
trojpolní systém hospodaření,open field system
trojrozměrné modelování,three-dimensional modelling
tropaeum,tropaion
trsátko,plectrum
trypilská kultura,Trypilian culture
trzciniecko-komarivský komplex,Trzciniec-Komariv culture
trám,beam
tróas,Troad
trójané,Trojans
tržní osada,market village
tuba,tuba
tuhování,graphite painting
tunika,tunic
tunisko,Tunisia
turecko,Turkey
turkické národy,Turkic peoples
turkmenistán,Turkmenistan
turks a caicos,Turks and Caicos Islands (the)
turnovský typ,Turnov type
tuvalu,Tuvalu
tvar nádoby,shape of the vessel
tvarování keramiky,ceramics forming
tvrz,fortified house
tvrz/hrádek,fortified manor
tyglík,crucible
tympanon (architektura),tympanum (architecture)
tympanon (hudební nástroj),tympanum (musical instrument)
typologie,typology
typologie zemědělských půd,typology of agricultural land
typy dle charakteru výzkumu,types according to the character of the research
typy dle povahy výzkumu,types according to the nature of the research
typy dle průběhu výzkumu,types according to the research process
typy etnografického výzkumu,types of ethnographic research
tyrolsko,Tyrol
tyrrhénské moře,Tyrrhenian Sea
tyčinka,rod
tyčinka/váleček,rod/log
tábořiště,camp site
tádžikistán,Tajikistan
táygetos,Taygetus
týden,week
těhotenství,pregnancy
těšínské slezsko,Cieszyn Silesia
těžba,mining activity
těžba břidlice,slate mining
těžba chromu,chrome mining
těžba cínu,tin ore mining
těžba diamantů,diamond mining
těžba dřeva,logging
těžba fosfátů,phosphate mining
těžba grafitu,graphite mining
těžba hlíny,clay mining
těžba hnědého uhlí,lignite mining
těžba jílu,clay minerals
těžba kamene,stone mining
těžba kaolinu,kaolin mining
těžba křídy,chalk mining
těžba manganu,manganese mining
těžba mramoru,marble mining
těžba mědi,copper mining
těžba nerostných surovin,mineral mining
těžba niklu,nickel mining
těžba olova,lead mining
těžba opálů,opal mining
těžba platiny,platinum mining
těžba pískovce,sandstone mining
těžba písku,sand extraction
těžba rašeliny,peat digging
těžba rohovce,chert mining
těžba rud,ore mining
těžba soli,salt mining
těžba stříbra,silver mining
těžba uhlí,coal mining
těžba vápence,limestone mining
těžba zlata,gold mining
těžba černého uhlí,bituminous coal mining
těžba českého granátu,garnet mining
těžba železných rud,iron ore mining
těžební areál,mining area
těžební jáma,mining pit
těžební místo,mining site
těžební objekt,mining feature
těžební odpad,mining waste
těžený/zpracovávaný materiál,extracted/processed material
třetihory,tertiary
třetí makedonská válka (171-168 př. kr.),Third Macedonian War
třmen,stirrup
ubiové,Ubii
ubrousek,napkin
ubytování vojska,military accomodation
udidlo,bridle bit
uganda,Uganda
ugrofinové,Finno-Ugrians
ugrofinská literatura,Finno-Ugric literature
ugrofinské jazyky,Finno-Ugric languages
uhersko (1867-1918),Transleithania
uhličitan draselný,potash
uhlí,coal
uhlí dřevěné,charcoal
uhlík,charcoal
uhlíkatá hornina,carbon rock
uhlíky/popel,charcoal/ash
uhlíř,charcoal burner
ukrajina,Ukraine
ulice,street
umbrie (itálie : kraj),Umbria
umbrové,Umbri
umělec,artist
uměleckoprůmyslové muzeum,museums of decorative arts
umělecká keramika,art pottery
umělecká kritika,art criticism
umělecká litina,decorative cast iron
umělecká památka,artistic monument
umělecká sbírka,art collection
umělecká škola,art school
umělecké dílo,art work
umělecké kovářství,artistic blacksmithing
umělecké zámečnictví,artistic locksmithery
umělecké řemeslo,arts and crafts
umělecký kovář,artistic blacksmith
umělecký padělek,art forgeries
umělecký sloh,art styles
umělecký směr,art style
umělecký styl,artistic style
umělecký zámečník,artistic locksmith
umělkyně,artist (female)
umění,art
umění 19. století,art of the 19th century
umění 20. století,20th–century art
univerzita,university
uraloaltajské jazyky,Ural-Altaic languages
uralské jazyky,Uralic languages
uralské národy,Uralic peoples
urbanismus,urbanism
urbanizační proces,urbanization
urbář,urbarium
uruguay,Uruguay
určení pohlaví podle kostry,sex estimation
určení populační afinity,ancestry estimation
usedlost,farmstead
useň,hides and skins
utrakvistická liturgie,Utraquist liturgy
uzbekistán,Uzbekistan
uzda,bridle
užitková keramika,utiliarian ceramics
užité umění,applied art
val,rampart
valašsko,Wallachia
valdenští,Waldenses
valoun,pebble
valounová industrie,cobble industry
vandalové,Vandals
vanniovo království,Kingdom of Vannius
vanuatu,Vanuatu
varhany,organ
varjagové,Varegians
vatikán,Holy See (the)
vavřín,laurel
vegetační index,vegetation index
vejce,egg
velatická kultura,Velatice Culture
velikonoce,Easter
velkomoravská říše,Great Moravia
velkopolsko,Greater Poland
velkostatek,estate
velká británie,United Kingdom of Great Britain and Northern Ireland (the)
velká dobrá,Velká Dobrá
velké hospodářské zvíře,big livestock
velké řecko,Magna Graecia
velština,Welsh
venedové,Venethi
venetie,Venetia
venezuela,Venezuela (Bolivarian Republic of)
vepsové,Vepsians
vepština,Veps
veraikon,Veronica image
vertikální stratigrafie,vertical stratigraphy
vertikální řez,linear trench
vesnice,village
vesnice/městečko,village/town
vestálka,vestal virgin
vetus latina,Vetus Latina
veřejná knihovna,public library
veřejné prostranství,public area
viadukt,viaduct
videozáznam,video recording
vietnam,Viet Nam
vikariát,vicariate
vikingové,Vikings
vikingské pověsti,Viking legends
vikingské umění,Viking art
vila,villa
villanovská kultura,Villanovan culture
vinař,vintner
vinařická skupina,Vinařice group
vinařství,wine making
vindelicia,Vindelicia
vindelikové,Vindelici
vinobraní,wine festival
vinčanská kultura,Vinca culture
virtuální antropologie,virtual anthropology
vitorazsko,Weitra
vitráž,stained glass
vizigóti,Visigoths
vizigótské nápisy,Visigodas inscriptions
vizitantky,Visitation nuns
vizuální/geodetický průzkum,visual/geodetic survey
vlast,homeland
vlastenectví,patriotism
vlastivěda,national history and geography
vlastivědná mapa,national history map
vlastivědná společnost,national history and geography society
vlastivědná stezka,regional education trail
vlastivědné muzeum,national history and geography museum
vlastivědný spolek,national history and geography association
vlastnictví (města),ownership (town)
vlastní jméno,proper name
vlašim,Vlašim
vlna,wool
vltavín,moldavite
vlys,frieze
vládní forma,system of government
vlásenkářství,wig making
vnitřní migrace,internal migration
vodní doprava,water transport
vodní dílo,hydraulic structure
vodní hrad,wasserburg
vodní komunikace,navigable waterway
vodní mlýn,watermill
vodní měkkýš,aquatic mollusc
vodní nádrž,reservoir
vodní plocha/tok,water body/stream
vodní pramen,spring
vodní stavba,hydraulic structure
vodní tok,water stream
vodopád,waterfall
vodoteč,riverine water bodies
vodovod,water supply pipe
vojenská diktatura,military dictatorship
vojenská loď,warship
vojenská porážka,military defeat
vojenská strategie,military strategy
vojenská taktika,military tactic
vojenská technika,military engineering
vojenská topografie,military topography
vojenské dějiny,military history
vojenské řády a vyznamenání,military decoration
vojenský teoretik,military theorist
vojenský tábor,military camp
vojenský velitel,military officer
vojenství,military science
vojevůdce,commander
voják,soldier
volovské knížectví,Duchy of Wołów
volskové,Volsci
voluta (ionský sloup),volute
voršilky,Ursulines
vosk,wax
vosková tabulka,wax tablet
votština,Votic
vozatajstvo,Tross
vrchlabí,Vrchlabí
vrcholný - pozdní středověk,High - late middle ages
vrcholný středověk,High Middle Ages
vrcholný středověk (historiografie),High - late middle ages (historiography)
vrcholný středověk–novověk,High Middle Ages–Modern Period
vrcholný–pozdní středověk,High–Late Middle Ages
vrhací zbraň,throwing weapon
vrstva (objekt),layer
vrstva/souvrství,layer/layer sequence
vrt,sediment core sample
vrták,borer
vtip,joke
vulgární latina,vulgar Latin
vulkanická erupce,volcanic eruption
vulkanologie,volcanology
vučedolská kultura,Vučedol culture
vyhlášení války,declaration of war
vyspělé mladohradištní období,Advanced Late Hillfort Period
vyspělé středohradištní období,Advanced Middle Hillfort Period
vytápění,heating
vyvřelá hornina,igneous rock
vyšší společenská vrstva,upper class
vyšší šlechta,higher nobility
vznik jazyka,origin of language
vzor (motiv),pattern
vzorek,sample
vzorek antrakologický,anthracological sample
vzorek dendrochronologický,dendrochronological sample
vzorek geologický,geological sample
vzorek malakologický,malacological sample
vzorek paleobotanický,palaeobotanical sample
vzorek palynologický,palynological sample
vzorek pedologický,pedological sample
vzorek pro radiokarbonové datování,radiocarbon dating sample
váha,scale
válečnictví,art of war
válečné tažení,campaign
válečný veterán,war veteran
válka,war
války,wars
vánoce,Christmas
vánoční ostrov,Christmas Island
vápenická jáma,lime pit
vápenická pec,lime kiln
vápno,quicklime
váza,vase
vídeňská škola dějin umění,Vienna School of Art History
víno,wine
vítězný oblouk,triumphal arch
východní křesťanská liturgie,Eastern Christian liturgy
východní křesťanská spiritualita,Eastern Christian spirituality
východní křesťanství,Eastern Christianity
východní náboženství,Oriental religion
východní slované,Eastern Slavs
východní timor,Timor-Leste
východofranská říše,East Francia
výheň,furnace
výkop,cut
výletní loď,cruise ship
výpal keramiky,ceramics firing
výplň zahloubeného objektu,filling
výplň/zásyp,fill/deposit
výroba,production activity
výroba dřevěného uhlí,production of charcoal
výrobní objekt,production feature
výrobní odpad,manufacturing debris
výroční ohně,Annual bonfires
vývoj jazyka,language evolution
vývrat,windthrow
výzkum povrchové vrstvy,topsoil sampling
výzkumná instituce,research organisation
význam (umění),significance (art)
výšinné sídliště,hill settlement
věda - obecná hesla,science - general entries
vědecká informace,scientific information
vědecká metodologie,scientific methodology
vědecká publikace,scientific publication
vědecká teorie,scientific theory
vědecké instituce a organizace,scientific institutions and organizations
vědecký omyl,scientific error
vědecký podvod,scientific falsification
vědecký program,scientific program
vědecký časopis,scientific journal
vědní politika,scientific policy
vědro,bucket
vědro/situla,bucket/situla
vědy o zemi,Earth sciences
věk obyvatelstva,age of population
věnec,wreath
věnné město,dowry town
věterovská kultura,Věteřov culture
věteřovská kultura,Věteřov Culture
větrný mlýn,windmill
věznice,prison
věštba,divination
věštec,oracle
věštírna,oracle
věž,tower
věžice,half tower
vůz,cart
wales,Wales
wallis a futuna,Wallis and Futuna
wessex,Kingdom of Wessex
wittelsbach,House of Wittelsbach
xerokopie barevná,colour xerographic copy
xerokopie černobílá,black-and-white xerographic copy
xoanon,xoanon
zachováno 0–30 %,0–30% preserved
zachováno 30–80 %,30–80% preserved
zachováno 80–100 %,80–100% preserved
zahloubená plocha,depression
zahloubený objekt,sunken feature
zahrada,garden
zahrada/sad,garden
zahradní kultivace,tillage
zahraniční cesta,travel abroad
zahraniční výzkum,fieldwork abroad
zambie,Zambia
zamečník,locksmith
zaniklá lokalita,buried site
zaniklý/historický areál,deserted/historical site
zarathuštra,Zoroaster
zarubiněcká kultura,Zarubintsy culture
zataženo,overcast
zavazadlo,luggage
zbožnost,devotion
zboží,trade good
zbraň,weapon
zbraň chladná,cold weapon
zbraň palná,firearm
zbroj,armor
zbrojíř,armorer
zbrojířská značka,armourer sign
zbrojířství,bladesmithing
zdobení keramiky,ceramic design
zednické práce,bricklaying
zedník,bricklayer
zemanstvo,squire
zemnice,pithouse
zemská kůra,earth crust
zemské desky,reliquiae tabularum terrae
zemské jádro,earth core
zemské právo,municipal law
zemský plášť,earth mantle
země koruny české,Lands of the Bohemian Crown
zemědelský pravěk,farming prehistory
zemědělec,agriculturist
zemědělská geografie,rural geography
zemědělská půda,agricultural land
zemědělská usedlost,farmhouse
zemědělská výroba,agricultural production
zemědělské nářadí,agricultural implement
zemědělský objekt,agricultural structure
zemědělský pravěk,farming prehistory
zemědělský půdní fond,agricultural soil fund
zemědělství,farming
zemětřesení,earthquake
zeď,wall
zhuštěný popis,thick description
zimbabwe,Zimbabwe
zinek,zinc
zisk,profit
zjišťovací archeologický výzkum,evaluation excavation
zlatka,gulden
zlatnictví,goldsmithing
zlatník,goldsmith
zlato,gold
zlatá horda,Golden Horde
zlomek keramiky,potsherd
zlomek kosti,bone fragment
zlomek mazanice,daub fragment
zničený prostor,destroyed site
znojmo,Znojmo
zoogeografie,zoogeography
zoologická sbírka,zoological collection
zoomorfní nádoba,zoomorphic vessel
zoomorfní plastika,zoomorphic sculpture
zoroastrizmus,zoroastrianism
zpovědní seznam,Confessional Registry
zprávy a hlášení,reports
způsob provedení,construction type
způsob provedení (objekty),method of implementation (features)
zrcadlo,mirror
zrnotěrka,grinding slab
ztraceno/skartováno,lost/discarded
zub,tooth
zub lidský,human tooth
zub zvířecí,animal tooth
zvonek,bell
zvonice,bell tower
zvykové právo,common law
zvířecí oběť,animal offering
zvířecí symbolika,animal symbolism
záchod,toilet
záchranný,rescue
záchranný výzkum (archeologie),rescue excavation
záduší,Fabrica ecclesiae
základní výzkum,basic research
základová konstrukce,foundation
základy,foundations
zákon,law
zákoník,law code
zákop,trench
zámek,lock
zámek/zámeček/vila,chateau/villa
zámečnictví,locksmithery
západní civilizace,western civilization
západní křesťanská liturgie,Western Christian liturgy
západní křesťanská spiritualita,Western Christian spirituality
západní křesťanství,Western Christianity
západní sahara,Western Sahara
západní slované,Western Slavs
západofranská říše,West Francia
zápona,clasp
zásnuby,betrothal
zásobnice,storage vessel
zásobní jáma,storage pit
záušnice,temple ring
závaží,weight
závaží rybářské,net weight
závaží tkalcovské,loom weight
závěť,will
zúčastněné pozorování,participant observation
zúčastněné pozorování (etnologie),participant observation (etnology)
ázerbájdžán,Azerbaijan
élis (řecko),Elis
épeirský despotát,Despotate of Epirus
írán,Iran (Islamic Republic of)
ódeion,odeon
údolní niva,floodplain
údolí,valley
úhor,fallow land
úmrtnost,mortality
úmrtnostní tabulka,bill of mortality
únětická kultura,Únětice Culture
ústav památkové péče,heritage organisation
ústně předávaný pramen,Oral Tradition
úvoz,hollow way
územní spor,territorial dispute
územní změna,territorial change
účetní materiál,Bookkeeping
úřednice,woman official
úřední kniha,official book
úřední písemnost,official document
úředník,official
úštěp,flake
čad,Chad
čakanská kultura,Čakan culture
čalounictví,upholstery
čalouník,upholsterer
časná doba laténska (lta),early La Tène period
časná doba laténská (lta),Early La Tène Period (LtA)
časný eneolit,Proto-Eneolithic
čelenka,head ornament
čepel,blade
čepel/čepelka,blade/small blade
čepelka,bladelet
černigovské knížectví,Principality of Chernigov
černofigurová keramika,black-figure ware
černá hora,Montenegro
černá rus,Black Ruthenia
černé moře (oblast),Black Sea
čerpák,kyathos
červenofigurová keramika,red-figure ware
čerňjachovská kultura,Chernyakhov culture
česko,Czechia
českofalcká mohylová kultura,Bohemian-Palatinate Tumulus Culture
československá koruna,czechoslovak koruna
české budějovice-hosín,České Budějovice-Hosín
české knížectví,Duchy of Bohemia
české království,Kingdom of Bohemia
český granát,Czech garnet
čeština,Czech
čeští bratři,Bohemian Brethren
činka,dumbbell
činnost (hornictví),activity (mining)
činnosti muzeí,activities of museums
činění kožešin,tanning (činění kožešin/Pelzzurichtung)
činění kůží,tanning (činění kůží/Gerberei)
členění (křesťanství),classification (Christianity)
členění (liturgie),classification (liturgy)
členění dle objektu výzkumu (genetika),classification according to research theme
člověk,human
člun,boat
článek v novinách,newspaper article
článek v časopise,journal paper
čtvrtohory,Quaternary
část akce,fieldwork segment
část knihy,book chapter
čína,China
ďábel,devil
řecko,Greece
řecko-perské války (500-449 př. kr),Greco-Persian Wars
řeckokatolická liturgie,Greek Catholic liturgy
řeckokatolický kněz,Greek Catholic priest
řecká antická architektura,ancient Greek architecture
řecká antická bajka,Greek ancient fable
řecká antická civilizace,ancient Greek civilization
řecká antická filozofie,Greek philosophy (ancient)
řecká antická literatura,Greek ancient literature
řecká antická poezie,Greek ancient poetry
řecká antická próza,Greek ancient prose literature
řecká mytologie,Greek mythology
řecké antické autorky,Greek ancient women authors
řecké antické drama,Greek ancient drama
řecké antické lékařství,ancient Greek medicine
řecké antické malířství,ancient greeek painting
řecké antické sochařství,ancient Greek sculpture
řecké antické umění,ancient Greek art
řecké bohyně,Greek goddesses
řecké kmeny,Greek tribes
řecké náboženství,Greek religion
řecké nápisy,Greek inscriptions
řecké písmo,Greek script
řecký antický epos,Greek ancient epos
řecký antický projev,Greek ancient speech
řecký antický román,Greek ancient novel
řecký antický verš,Greek ancient verse
řecký starověký hymnus,Greek hymn
řeholnice,nun (řeholnice/Ordensschwester)
řeholní kanovník,regular canon
řeholní spiritualita,regular spirituality
řeholní řád,monastic order
řeholník,votarist
řeka,river
řekové,Greek
řemenář,girdler
řemenářství,belt production
řemeslnice,craftswoman
řemeslná práce,craftsmanship
řemeslná výroba,handicraft production
řemeslník,craftsman
řemeslo,craft
řetízek,chain necklace
řetěz,chain
řez,linear trench
řezba v kameni,stone carving
řezba v nefritu,jade carving
řezba v rohovině,horn carving
řezba ve slonovině,ivory carving
řezbář,carver
řezbářka,woman carver
řezbářský výrobek,woodcarving product
řezbářství,woodcarving
řečtí antičtí autoři,Greek ancient authors
řečtí bohové,Greek gods
řivnáčská kultura,Řivnáč Culture
řád a vyznamenání,decorations of honor
římané,Romans
římsa,geison
římsko-provinciální výrobek,Roman provincial product
římská antická architektura,ancient Roman architecture
římská antická civilizace,ancient Roman civilization
římská antická filozofie,Roman philosophy
římská archeologie,Roman archaeology
římská armáda,Roman army
římská legie,Roman legion
římská mytologie,Roman mythology
římská občanská válka 49-45 př. kr.,Caesar's Civil War
římská provincie,Roman province
římská republika,Roman Republic
římské antické malířství,ancient Roman painting
římské antické sochařství,ancient Roman sculpture
římské antické umění,ancient Roman art
římské bohyně,Roman goddesses
římské císařství,Roman Empire
římské náboženství,Roman religion
římské občanské války (80-33 př. kr.),Roman Civil Wars
římské právo,Roman law
římský císař,Roman emperor
římští bohové,Roman gods
říční archeologie,river archaeology
říční doprava,river transport
říční koryto,river channel
šachovnice,chessboard
šachová figurka,chessmen
šachta,shaft
šachy,chess
šalomounovy ostrovy,Solomon Islands
šaman,shaman
šamanismus,shamanism
šamot,fireclay
šavle,sabre
šibenice,gallows
šipka,dart
školní sešit,exercise book
škrabadlo,endscraper
šlechta,nobility
šlechtické sídlo,residence of nobility
šlechtický rod,house of nobility
šlesvicko,Duchy of Schleswig
šovinismus,chauvinism
španělsko,Spain
špendlík,pin
šperk,jewel
šperkař,jeweler
šperkařství,jewelry
špicberky a jan mayen,Svalbard and Jan Mayen
špičák,pick
špýchar,granary (špýchar/Speicher)
šrí lanka,Sri Lanka
štaufové,House of Hohenstaufen
štola,adit
štukatér,stuccoist
štukatérství,stuccowork
štípaná industrie,chipped industry
štít,shield
štítarská kultura,Štítary Culture
štítová puklice,shield boss
štýrsko,Styria
šupinová zbroj,scale armour
švadlena,dressmaker
švartna,sapropel
švábsko,Swabia
švédsko,Sweden
švýcarsko,Switzerland
šárecký typ,Šárka Type
šídlo,awl
šíp/šipka/hrot šípu/šipky,arrow/arrowhead
žací nůž,reaping knife
žaltář,psalter
žalář,jailhouse
žebravý řád,mendicant order
železnice,railway
železná ruda,iron ore
železný odpad,scrap iron
železo,iron
železářská pec,iron furnace
železářský areál,iron production site
želiezovská skupina,Želizovce Group
želiezovský typ,Želizovce group
žemaitija,Samogitia
ženská spiritualita,women’s spirituality
ženský řeholní řád,female monastic order
žernov,quern
žernov/mlýnský kámen,quern
žertovné obyčeje v předvečer 1. května,Humorous customs on the eve of May 1
žeton,token
židovská architektura,Jewish architecture
židovský kněz,Jewish priest
židovstvujuščije,Judaizers
židé,Jewish people
žito,rye
živočišná výroba,animal husbandry
živočišné makrozbytky,animal remains
žlab,ditch
žoldnéřské vojsko,mercenary troops
žároviště,burned layer
žárové zemědělství,slash and burn agriculture
žárový hrob,burnt grave
